Ozone,Year,Month
NA,1926,Jan
NA,1926,Feb
NA,1926,Mar
NA,1926,Apr
NA,1926,May
NA,1926,Jun
312,1926,Jul
300,1926,Aug
281,1926,Sep
267,1926,Oct
295,1926,Nov
325,1926,Dec
360,1927,Jan
365,1927,Feb
372,1927,Mar
375,1927,Apr
382,1927,May
350,1927,Jun
336,1927,Jul
314,1927,Aug
305,1927,Sep
280,1927,Oct
285,1927,Nov
316,1927,Dec
324,1928,Jan
325,1928,Feb
347,1928,Mar
359,1928,Apr
373,1928,May
331,1928,Jun
308,1928,Jul
295,1928,Aug
288,1928,Sep
268,1928,Oct
279,1928,Nov
313,1928,Dec
349,1929,Jan
401,1929,Feb
355,1929,Mar
418,1929,Apr
368,1929,May
345,1929,Jun
NA,1929,Jul
NA,1929,Aug
NA,1929,Sep
NA,1929,Oct
NA,1929,Nov
NA,1929,Dec
NA,1930,Jan
NA,1930,Feb
NA,1930,Mar
NA,1930,Apr
NA,1930,May
NA,1930,Jun
291,1930,Jul
299,1930,Aug
NA,1930,Sep
NA,1930,Oct
NA,1930,Nov
NA,1930,Dec
NA,1931,Jan
NA,1931,Feb
NA,1931,Mar
NA,1931,Apr
NA,1931,May
NA,1931,Jun
NA,1931,Jul
311,1931,Aug
335,1931,Sep
283,1931,Oct
286,1931,Nov
301,1931,Dec
318,1932,Jan
347,1932,Feb
370,1932,Mar
394,1932,Apr
360,1932,May
347,1932,Jun
334,1932,Jul
299,1932,Aug
292,1932,Sep
287,1932,Oct
293,1932,Nov
281,1932,Dec
357,1933,Jan
364,1933,Feb
399,1933,Mar
382,1933,Apr
390,1933,May
374,1933,Jun
335,1933,Jul
319,1933,Aug
309,1933,Sep
312,1933,Oct
311,1933,Nov
337,1933,Dec
334,1934,Jan
321,1934,Feb
392,1934,Mar
358,1934,Apr
365,1934,May
355,1934,Jun
328,1934,Jul
321,1934,Aug
282,1934,Sep
287,1934,Oct
291,1934,Nov
297,1934,Dec
332,1935,Jan
390,1935,Feb
367,1935,Mar
383,1935,Apr
375,1935,May
319,1935,Jun
331,1935,Jul
311,1935,Aug
288,1935,Sep
275,1935,Oct
299,1935,Nov
313,1935,Dec
329,1936,Jan
393,1936,Feb
398,1936,Mar
384,1936,Apr
373,1936,May
352,1936,Jun
328,1936,Jul
315,1936,Aug
303,1936,Sep
310,1936,Oct
298,1936,Nov
307,1936,Dec
347,1937,Jan
352,1937,Feb
395,1937,Mar
382,1937,Apr
365,1937,May
349,1937,Jun
324,1937,Jul
323,1937,Aug
301,1937,Sep
283,1937,Oct
280,1937,Nov
355,1937,Dec
337,1938,Jan
370,1938,Feb
325,1938,Mar
392,1938,Apr
384,1938,May
336,1938,Jun
325,1938,Jul
325,1938,Aug
296,1938,Sep
280,1938,Oct
285,1938,Nov
299,1938,Dec
320,1939,Jan
341,1939,Feb
385,1939,Mar
347,1939,Apr
382,1939,May
339,1939,Jun
331,1939,Jul
313,1939,Aug
286,1939,Sep
304,1939,Oct
284,1939,Nov
309,1939,Dec
387,1940,Jan
400,1940,Feb
418,1940,Mar
430,1940,Apr
403,1940,May
388,1940,Jun
346,1940,Jul
323,1940,Aug
310,1940,Sep
292,1940,Oct
302,1940,Nov
338,1940,Dec
362,1941,Jan
395,1941,Feb
417,1941,Mar
409,1941,Apr
417,1941,May
361,1941,Jun
348,1941,Jul
336,1941,Aug
306,1941,Sep
299,1941,Oct
309,1941,Nov
309,1941,Dec
400,1942,Jan
422,1942,Feb
373,1942,Mar
408,1942,Apr
376,1942,May
347,1942,Jun
325,1942,Jul
309,1942,Aug
284,1942,Sep
272,1942,Oct
298,1942,Nov
313,1942,Dec
338,1943,Jan
341,1943,Feb
385,1943,Mar
363,1943,Apr
348,1943,May
352,1943,Jun
336,1943,Jul
303,1943,Aug
291,1943,Sep
292,1943,Oct
303,1943,Nov
321,1943,Dec
300,1944,Jan
365,1944,Feb
385,1944,Mar
360,1944,Apr
349,1944,May
351,1944,Jun
319,1944,Jul
306,1944,Aug
290,1944,Sep
293,1944,Oct
298,1944,Nov
320,1944,Dec
377,1945,Jan
359,1945,Feb
360,1945,Mar
373,1945,Apr
376,1945,May
351,1945,Jun
329,1945,Jul
327,1945,Aug
297,1945,Sep
288,1945,Oct
295,1945,Nov
313,1945,Dec
336,1946,Jan
352,1946,Feb
380,1946,Mar
361,1946,Apr
355,1946,May
344,1946,Jun
318,1946,Jul
307,1946,Aug
276,1946,Sep
291,1946,Oct
297,1946,Nov
316,1946,Dec
383,1947,Jan
397,1947,Feb
393,1947,Mar
369,1947,Apr
361,1947,May
347,1947,Jun
334,1947,Jul
324,1947,Aug
307,1947,Sep
296,1947,Oct
278,1947,Nov
312,1947,Dec
341,1948,Jan
371,1948,Feb
348,1948,Mar
374,1948,Apr
353,1948,May
345,1948,Jun
345,1948,Jul
311,1948,Aug
299,1948,Sep
281,1948,Oct
286,1948,Nov
321,1948,Dec
332,1949,Jan
365,1949,Feb
378,1949,Mar
357,1949,Apr
371,1949,May
354,1949,Jun
335,1949,Jul
321,1949,Aug
284,1949,Sep
272,1949,Oct
296,1949,Nov
292,1949,Dec
352,1950,Jan
365,1950,Feb
365,1950,Mar
382,1950,Apr
374,1950,May
354,1950,Jun
322,1950,Jul
316,1950,Aug
292,1950,Sep
288,1950,Oct
287,1950,Nov
340,1950,Dec
338,1951,Jan
402,1951,Feb
417,1951,Mar
397,1951,Apr
383,1951,May
364,1951,Jun
332,1951,Jul
321,1951,Aug
297,1951,Sep
298,1951,Oct
278,1951,Nov
311,1951,Dec
378,1952,Jan
384,1952,Feb
411,1952,Mar
386,1952,Apr
385,1952,May
359,1952,Jun
341,1952,Jul
320,1952,Aug
317,1952,Sep
297,1952,Oct
302,1952,Nov
332,1952,Dec
335,1953,Jan
375,1953,Feb
373,1953,Mar
383,1953,Apr
382,1953,May
359,1953,Jun
326,1953,Jul
317,1953,Aug
293,1953,Sep
280,1953,Oct
266,1953,Nov
NA,1953,Dec
NA,1954,Jan
NA,1954,Feb
373,1954,Mar
415,1954,Apr
389,1954,May
362,1954,Jun
348,1954,Jul
329,1954,Aug
305,1954,Sep
285,1954,Oct
291,1954,Nov
284,1954,Dec
315,1955,Jan
375,1955,Feb
399,1955,Mar
374,1955,Apr
361,1955,May
351,1955,Jun
339,1955,Jul
332,1955,Aug
300,1955,Sep
292,1955,Oct
278,1955,Nov
317,1955,Dec
341,1956,Jan
402,1956,Feb
381,1956,Mar
395,1956,Apr
365,1956,May
360,1956,Jun
327,1956,Jul
308,1956,Aug
287,1956,Sep
284,1956,Oct
286,1956,Nov
312,1956,Dec
340,1957,Jan
342,1957,Feb
353,1957,Mar
375,1957,Apr
380,1957,May
349,1957,Jun
330,1957,Jul
321,1957,Aug
305,1957,Sep
279,1957,Oct
294,1957,Nov
322,1957,Dec
361,1958,Jan
351,1958,Feb
411,1958,Mar
417,1958,Apr
369,1958,May
369,1958,Jun
349,1958,Jul
330,1958,Aug
306,1958,Sep
312,1958,Oct
305,1958,Nov
326,1958,Dec
369,1959,Jan
367,1959,Feb
364,1959,Mar
390,1959,Apr
389,1959,May
373,1959,Jun
342,1959,Jul
330,1959,Aug
313,1959,Sep
294,1959,Oct
297,1959,Nov
328,1959,Dec
349,1960,Jan
397,1960,Feb
405,1960,Mar
400,1960,Apr
382,1960,May
353,1960,Jun
339,1960,Jul
315,1960,Aug
306,1960,Sep
299,1960,Oct
284,1960,Nov
332,1960,Dec
368,1961,Jan
333,1961,Feb
338,1961,Mar
365,1961,Apr
379,1961,May
349,1961,Jun
343,1961,Jul
322,1961,Aug
296,1961,Sep
288,1961,Oct
301,1961,Nov
304,1961,Dec
352,1962,Jan
362,1962,Feb
428,1962,Mar
400,1962,Apr
363,1962,May
349,1962,Jun
338,1962,Jul
302,1962,Aug
296,1962,Sep
271,1962,Oct
298,1962,Nov
309,1962,Dec
371,1963,Jan
408,1963,Feb
377,1963,Mar
381,1963,Apr
378,1963,May
352,1963,Jun
327,1963,Jul
310,1963,Aug
282,1963,Sep
273,1963,Oct
278,1963,Nov
293,1963,Dec
301,1964,Jan
335,1964,Feb
347,1964,Mar
378,1964,Apr
363,1964,May
330,1964,Jun
326,1964,Jul
323,1964,Aug
299,1964,Sep
288,1964,Oct
274,1964,Nov
310,1964,Dec
332,1965,Jan
390,1965,Feb
383,1965,Mar
385,1965,Apr
387,1965,May
345,1965,Jun
337,1965,Jul
318,1965,Aug
305,1965,Sep
275,1965,Oct
278,1965,Nov
305,1965,Dec
354,1966,Jan
338,1966,Feb
401,1966,Mar
380,1966,Apr
372,1966,May
NA,1966,Jun
NA,1966,Jul
326,1966,Aug
307,1966,Sep
282,1966,Oct
321,1966,Nov
319,1966,Dec
361,1967,Jan
362,1967,Feb
354,1967,Mar
374,1967,Apr
349,1967,May
358,1967,Jun
325,1967,Jul
317,1967,Aug
296,1967,Sep
273,1967,Oct
267,1967,Nov
304,1967,Dec
342,1968,Jan
383,1968,Feb
376,1968,Mar
379,1968,Apr
349,1968,May
351,1968,Jun
337,1968,Jul
335,1968,Aug
308,1968,Sep
275,1968,Oct
270,1968,Nov
331,1968,Dec
327,1969,Jan
419,1969,Feb
361,1969,Mar
393,1969,Apr
351,1969,May
364,1969,Jun
333,1969,Jul
333,1969,Aug
294,1969,Sep
281,1969,Oct
307,1969,Nov
345,1969,Dec
331,1970,Jan
417,1970,Feb
414,1970,Mar
419,1970,Apr
389,1970,May
360,1970,Jun
331,1970,Jul
323,1970,Aug
291,1970,Sep
278,1970,Oct
271,1970,Nov
309,1970,Dec
344,1971,Jan
349,1971,Feb
411,1971,Mar
364,1971,Apr
358,1971,May
358,1971,Jun
336,1971,Jul
309,1971,Aug
317,1971,Sep
278,1971,Oct
292,1971,Nov
306,1971,Dec
